grouping,sort,section,units,grade,level_achieved,year,value
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2016,NA
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2017,NA
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2018,15
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2019,20
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2020,NA
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2021,16
Pacific Islander,E6,Standardized_Scores,score,All,Masters,2022,18
2 or More Races,E7,Standardized_Scores,score,All,Masters,1995,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,1996,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,1997,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,1998,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,1999,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2000,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2001,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2002,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2003,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2004,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2005,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2006,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2007,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2008,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2009,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2010,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2011,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2012,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2013,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2014,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2015,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2016,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2017,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2018,31
2 or More Races,E7,Standardized_Scores,score,All,Masters,2019,29
2 or More Races,E7,Standardized_Scores,score,All,Masters,2020,NA
2 or More Races,E7,Standardized_Scores,score,All,Masters,2021,25
2 or More Races,E7,Standardized_Scores,score,All,Masters,2022,28
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,1995,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,1996,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,1997,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,1998,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,1999,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2000,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2001,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2002,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2003,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2004,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2005,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2006,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2007,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2008,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2009,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2010,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2011,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2012,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2013,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2014,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2015,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2016,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2017,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2018,17
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2019,17
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2020,NA
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2021,15
Economically Disadvantaged,O1,Standardized_Scores,score,All,Masters,2022,15
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,1995,65.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,1996,70.9
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,1997,70.7
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,1998,68.2
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,1999,57.7
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2000,54.6
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2001,61.5
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2002,62.4
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2003,60.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2004,59.9
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2005,60.2
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2006,66.2
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2007,64.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2008,63
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2009,58
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2010,57.8
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2011,62.5
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2012,75.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2013,68.7
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2014,61.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2015,67.1
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2016,66.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2017,67.9
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2018,92.5
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2019,94.3
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2020,92.5
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2021,94.5
Percent Tested,1,SAT_ACT,percent_of_students,All,NA,2022,88.8
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,1995,15.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,1996,17.5
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,1997,27
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,1998,33.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,1999,25.7
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2000,34.5
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2001,25
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2002,27.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2003,28.7
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2004,29.1
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2005,31.4
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2006,30.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2007,33.1
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2008,26.7
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2009,29
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2010,28.3
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2011,29.6
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2012,26.4
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2013,29.6
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2014,32
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2015,26.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2016,29.7
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2017,29
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2018,20
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2019,42.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2020,39.9
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2021,44.4
Percent At Or Above Criterion,2,SAT_ACT,percent_of_students,All,NA,2022,38.9
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,1995,892
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,1996,906
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,1997,1019
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,1998,1008
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,1999,992
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2000,1032
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2001,991
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2002,995
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2003,991
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2004,1005
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2005,1008
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2006,1022
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2007,1022
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2008,999
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2009,1011
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2010,1007
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2011,1008
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2012,989
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2013,1462
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2014,1479
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2015,1462
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2016,1478
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2017,1459
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2018,1023
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2019,1047
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2020,1036
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2021,1044
SAT-Mean Total Score,3,SAT_ACT,score,All,NA,2022,1020
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,1995,20.5
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,1996,20.2
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,1997,20.5
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,1998,21
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,1999,21.5
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2000,21.7
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2001,21.1
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2002,21
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2003,20.7
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2004,21.6
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2005,20.3
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2006,21.4
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2007,21.6
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2008,21
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2009,21.7
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2010,21.9
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2011,22.1
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2012,22.8
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2013,22
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2014,22.2
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2015,21.8
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2016,22.2
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2017,21.7
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2018,22.5
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2019,22.2
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2020,22.4
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2021,22.4
ACT-Mean Composite Score,4,SAT_ACT,score,All,NA,2022,22.1
Total Staff FTE,STAFF1,Staff,count,All,NA,1995,641
Total Staff FTE,STAFF1,Staff,count,All,NA,1996,652
Total Staff FTE,STAFF1,Staff,count,All,NA,1997,673
Total Staff FTE,STAFF1,Staff,count,All,NA,1998,724
Total Staff FTE,STAFF1,Staff,count,All,NA,1999,788
Total Staff FTE,STAFF1,Staff,count,All,NA,2000,841
Total Staff FTE,STAFF1,Staff,count,All,NA,2001,847
Total Staff FTE,STAFF1,Staff,count,All,NA,2002,880
Total Staff FTE,STAFF1,Staff,count,All,NA,2003,843
Total Staff FTE,STAFF1,Staff,count,All,NA,2004,903
Total Staff FTE,STAFF1,Staff,count,All,NA,2005,961
Total Staff FTE,STAFF1,Staff,count,All,NA,2006,1057
Total Staff FTE,STAFF1,Staff,count,All,NA,2007,1190
Total Staff FTE,STAFF1,Staff,count,All,NA,2008,1280
Total Staff FTE,STAFF1,Staff,count,All,NA,2009,1385
Total Staff FTE,STAFF1,Staff,count,All,NA,2010,1507
Total Staff FTE,STAFF1,Staff,count,All,NA,2011,1521
Total Staff FTE,STAFF1,Staff,count,All,NA,2012,1466
Total Staff FTE,STAFF1,Staff,count,All,NA,2013,1471.5
Total Staff FTE,STAFF1,Staff,count,All,NA,2014,1552.3
Total Staff FTE,STAFF1,Staff,count,All,NA,2015,1586.8
Total Staff FTE,STAFF1,Staff,count,All,NA,2016,1670.4
Total Staff FTE,STAFF1,Staff,count,All,NA,2017,1678.4
Total Staff FTE,STAFF1,Staff,count,All,NA,2018,NA
Total Staff FTE,STAFF1,Staff,count,All,NA,2019,NA
Total Staff FTE,STAFF1,Staff,count,All,NA,2020,NA
Total Staff FTE,STAFF1,Staff,count,All,NA,2021,NA
Total Staff FTE,STAFF1,Staff,count,All,NA,2022,NA
Total Teacher FTE,STAFF2,Staff,count,All,NA,1995,302
Total Teacher FTE,STAFF2,Staff,count,All,NA,1996,305
Total Teacher FTE,STAFF2,Staff,count,All,NA,1997,318
Total Teacher FTE,STAFF2,Staff,count,All,NA,1998,336
Total Teacher FTE,STAFF2,Staff,count,All,NA,1999,372
Total Teacher FTE,STAFF2,Staff,count,All,NA,2000,404
Total Teacher FTE,STAFF2,Staff,count,All,NA,2001,420
Total Teacher FTE,STAFF2,Staff,count,All,NA,2002,441
Total Teacher FTE,STAFF2,Staff,count,All,NA,2003,438
Total Teacher FTE,STAFF2,Staff,count,All,NA,2004,468
Total Teacher FTE,STAFF2,Staff,count,All,NA,2005,496
Total Teacher FTE,STAFF2,Staff,count,All,NA,2006,543
Total Teacher FTE,STAFF2,Staff,count,All,NA,2007,619
Total Teacher FTE,STAFF2,Staff,count,All,NA,2008,663
Total Teacher FTE,STAFF2,Staff,count,All,NA,2009,717
Total Teacher FTE,STAFF2,Staff,count,All,NA,2010,785
Total Teacher FTE,STAFF2,Staff,count,All,NA,2011,783
Total Teacher FTE,STAFF2,Staff,count,All,NA,2012,753
Total Teacher FTE,STAFF2,Staff,count,All,NA,2013,767.7
Total Teacher FTE,STAFF2,Staff,count,All,NA,2014,816.7
Total Teacher FTE,STAFF2,Staff,count,All,NA,2015,847.2
Total Teacher FTE,STAFF2,Staff,count,All,NA,2016,891
Total Teacher FTE,STAFF2,Staff,count,All,NA,2017,920.9
Total Teacher FTE,STAFF2,Staff,count,All,NA,2018,NA
Total Teacher FTE,STAFF2,Staff,count,All,NA,2019,NA
Total Teacher FTE,STAFF2,Staff,count,All,NA,2020,NA
Total Teacher FTE,STAFF2,Staff,count,All,NA,2021,NA
Total Teacher FTE,STAFF2,Staff,count,All,NA,2022,NA
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,1995,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,1996,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,1997,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,1998,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,1999,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2000,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2001,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2002,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2003,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2004,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2005,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2006,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2007,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2008,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2009,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2010,0
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2011,1
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2012,0
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2013,0.3
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2014,0.3
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2015,0.3
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2016,0.5
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2017,0.5
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2018,0.7
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2019,0.6
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2020,0.7
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2021,0.7
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA,2022,0.7
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,1995,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,1996,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,1997,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,1998,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,1999,3
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2000,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2001,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2002,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2003,3
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2004,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2005,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2006,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2007,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2008,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2009,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2010,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2011,2
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2012,3
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2013,2.5
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2014,2.6
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2015,2.7
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2016,2.6
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2017,2.6
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2018,2.4
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2019,2.4
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2020,2.3
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2021,2.3
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA,2022,2.2
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,1995,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,1996,8
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,1997,8
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,1998,8
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,1999,8
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2000,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2001,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2002,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2003,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2004,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2005,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2006,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2007,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2008,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2009,9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2010,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2011,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2012,10
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2013,10.2
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2014,10.1
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2015,10.1
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2016,9.9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2017,10.2
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2018,10.3
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2019,10.4
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2020,9.8
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2021,9.9
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA,2022,10.5
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,1995,47
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,1996,47
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,1997,47
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,1998,46
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,1999,47
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2000,48
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2001,50
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2002,50
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2003,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2004,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2005,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2006,51
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2007,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2008,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2009,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2010,52
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2011,51
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2012,51
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2013,52.2
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2014,52.6
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2015,53.4
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2016,53.3
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2017,54.9
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2018,53.5
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2019,52.9
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2020,53.8
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2021,54.5
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA,2022,54.1
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,1995,15
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,1996,16
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,1997,15
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,1998,16
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,1999,15
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2000,14
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2001,13
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2002,12
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2003,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2004,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2005,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2006,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2007,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2008,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2009,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2010,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2011,9
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2012,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2013,9.4
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2014,9.3
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2015,8.9
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2016,8.3
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2017,8.8
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2018,8.5
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2019,9.1
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2020,9.7
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2021,10
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA,2022,10.1
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,1995,27
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,1996,27
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,1997,26
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,1998,27
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,1999,26
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,2000,26
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,2001,25
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,2002,25
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,2003,26
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA,2004,26
